ID	LABEL	SubClass Of	ID	LABEL	SubClass Of
MOP:0000328	lambda(5)-arsanylation	formation of covalent bond with arsenic centre			
MOP:0000329	stibaniumylation	formation of covalent bond with antimony centre			
MOP:0000330	lambda(5)-stibanylation	formation of covalent bond with antimony centre			
MOP:0000331	boranylation	formation of covalent bond with sulfur centre			
MOP:0000332	boranetriylation	formation of covalent bond with sulfur centre			
MOP:0000333	boranediylation	formation of covalent bond with sulfur centre			
MOP:0000334	boranuidylation	formation of covalent bond with sulfur centre			
MOP:0000335	germylation	formation of covalent bond with germanium centre			
MOP:0000336	germanediylation	formation of covalent bond with germanium centre			
MOP:0000337	germanetetraylation	formation of covalent bond with germanium centre			
MOP:0000338	germanetriylation	formation of covalent bond with germanium centre			
MOP:0000339	silylation	formation of covalent bond with silicon centre	MOP:0000339	silylation	formation of covalent bond with group
MOP:0000340	silanediylation	formation of covalent bond with silicon centre			
MOP:0000341	silanetriylation	formation of covalent bond with silicon centre			
MOP:0000342	silanetetraylation	formation of covalent bond with silicon centre			
MOP:0000343	disilanylation	formation of covalent bond with silicon centre			
MOP:0000344	alumanylation	formation of covalent bond with aluminium centre			
MOP:0000345	stannylation	formation of covalent bond with tin centre			
MOP:0000346	stannanetriylation	formation of covalent bond with tin centre			
MOP:0000347	plumbanetriylation	formation of covalent bond with lead centre			
MOP:0000348	plumbylation	formation of covalent bond with lead centre			
MOP:0000349	gallanylation	formation of covalent bond with gallium centre			
MOP:0000350	indiganylation	formation of covalent bond with indium centre			
MOP:0000351	thallanylation	formation of covalent bond with thallium centre			
MOP:0000352	phosphatidylation	formation of covalent bond with phosphorus centre			
MOP:0000353	nucleosidylation	organylation			
MOP:0000354	guanosylation	nucleosidylation			
MOP:0000355	inosylation	nucleosidylation			
MOP:0000356	thymidylation	nucleosidylation			
MOP:0000357	adenosylation	nucleosidylation			
MOP:0000358	5'-adenosylation	adenosylation			
MOP:0000359	uridylation	nucleosidylation			
MOP:0000360	cytidylation	nucleosidylation			
MOP:0000361	dolichylation	formation of covalent bond with carbon centre			
MOP:0000362	2-trans,6-trans-farnesylation	farnesylation			
MOP:0000363	margarylation	alkylation			
MOP:0000364	methylation	alkylation	MOP:0000364	methylation	alkylation
MOP:0000365	methanetetraylation	formation of covalent bond with carbon centre			
MOP:0000366	methanetriylation	formation of covalent bond with carbon centre			
MOP:0000367	trichloromethylation	haloalkylation			
MOP:0000368	trifluoromethylation	formation of covalent bond with carbon centre			
MOP:0000369	alkylation	hydrocarbylation	MOP:0000369	alkylation	hydrocarbylation
MOP:0000370	butylation	alkylation			
MOP:0000371	cerylation	alkylation			
MOP:0000372	decylation	alkylation			
MOP:0000373	dodecylation	alkylation			
MOP:0000374	heptylation	alkylation			
MOP:0000375	hexylation	alkylation			
MOP:0000376	myricylation	alkylation			
MOP:0000377	myristylation	alkylation			
MOP:0000378	nonylation	alkylation			
MOP:0000379	octylation	alkylation			
MOP:0000380	palmitylation	alkylation			
MOP:0000381	pentylation	alkylation			
MOP:0000382	propylation	alkylation			
MOP:0000383	stearylation	alkylation			
MOP:0000384	isopropylation	alkylation			
MOP:0000385	ethylation	alkylation			
MOP:0000386	isobutylation	alkylation			
MOP:0000387	pentan-2-ylation	alkylation			
MOP:0000388	isopentylation	alkylation			
MOP:0000389	3-methylbutan-2-ylation	alkylation			
MOP:0000390	tert-pentylation	alkylation			
MOP:0000391	neopentylation	alkylation			
MOP:0000392	undecylation	alkylation			
MOP:0000393	tridecylation	alkylation			
MOP:0000394	pentadecylation	alkylation			
MOP:0000395	nonadecylation	alkylation			
MOP:0000396	arachidylation	alkylation			
MOP:0000397	henicosylation	alkylation			
MOP:0000398	behenylation	alkylation			
MOP:0000399	tricosylation	alkylation			
MOP:0000400	lignocerylation	alkylation			
MOP:0000401	pentacosylation	alkylation			
MOP:0000402	heptacosylation	alkylation			
MOP:0000403	montanylation	alkylation			
MOP:0000404	nonacosylation	alkylation			
MOP:0000405	sec-butylation	alkylation			
MOP:0000406	tert-butylation	alkylation			
MOP:0000407	pentan-3-ylation	alkylation			
MOP:0000408	2-chloroethylation	haloalkylation			
MOP:0000409	1-chloroethylation	haloalkylation			
MOP:0000410	hydrocarbylation	organylation	MOP:0000410	hydrocarbylation	organylation
MOP:0000411	arylation	hydrocarbylation	MOP:0000411	arylation	has_participant some 'aryl group', hydrocarbylation
MOP:0000412	phenylation	arylation			
MOP:0000413	biphenyl-4-ylation	arylation			
MOP:0000414	naphthylation	arylation			
MOP:0000415	1-naphthylation	naphthylation			
MOP:0000416	2-naphthylation	naphthylation			
MOP:0000417	cycloalkylation	hydrocarbylation			
MOP:0000418	cyclobutylation	cycloalkylation			
MOP:0000419	cyclopropylation	cycloalkylation			
MOP:0000420	alkenylation	hydrocarbylation			
MOP:0000421	oleylation	alkenylation			
MOP:0000422	allylation	alkenylation	MOP:0000422	allylation	hydrocarbylation
MOP:0000423	isopropenylation	alkenylation			
MOP:0000424	vinylation	alkenylation			
MOP:0000425	prenylation	alkenylation			
MOP:0000426	phytylation	alkenylation			
MOP:0000427					
MOP:0000428	polyprenylation	prenylation			
MOP:0000429	farnesylation	polyprenylation			
MOP:0000430	geranylation	polyprenylation			
MOP:0000431	geranylgeranylation	polyprenylation			
MOP:0000432	retinylation	prenylation			
MOP:0000433	adamantan-2-ylation	hydrocarbylation			
